Abs_r1,Abs_r2,Abs_r3,Abs_t1,Abs_t2,L1_L2_Flex_Ext,L1_L2_Lat_Bending,L1_L2_axial_rotation,L1_T12_Flex_Ext,L1_T12_Lat_Bending,L1_T12_axial_rotation,L2_L3_Flex_Ext,L2_L3_Lat_Bending,L2_L3_axial_rotation,L3_L4_Flex_Ext,L3_L4_Lat_Bending,L3_L4_axial_rotation,L4_L5_Flex_Ext,L4_L5_Lat_Bending,L4_L5_axial_rotation,L5_S1_Flex_Ext,L5_S1_Lat_Bending,L5_S1_axial_rotation,acromioclavicular_r1_l,acromioclavicular_r1_r,acromioclavicular_r2_l,acromioclavicular_r2_r,acromioclavicular_r3_l,acromioclavicular_r3_r,ankle_angle_l,ankle_angle_r,c1_skull_AR,c1_skull_FE,c1_skull_LB,c2_c1_AR,c2_c1_FE,c2_c1_LB,c3_c2_AR,c3_c2_FE,c3_c2_LB,c4_c3_AR,c4_c3_FE,c4_c3_LB,c5_c4_AR,c5_c4_FE,c5_c4_LB,c6_c5_AR,c6_c5_FE,c6_c5_LB,c7_c6_AR,c7_c6_FE,c7_c6_LB,cmc_abduction_l,cmc_abduction_r,cmc_flexion_l,cmc_flexion_r,deviation,deviation_l,elbow_flex_l,elbow_flex_r,elv_angle_l,elv_angle_r,flexion_l,flexion_r,hip_adduction_l,hip_adduction_r,hip_flexion_l,hip_flexion_r,hip_rotation_l,hip_rotation_r,ip_flexion_l,ip_flexion_r,knee_angle_l,knee_angle_l_beta_rotation1,knee_angle_l_beta_translation1,knee_angle_l_beta_translation2,knee_angle_l_rotation2,knee_angle_l_rotation3,knee_angle_l_translation1,knee_angle_l_translation2,knee_angle_r,knee_angle_r_beta_rotation1,knee_angle_r_beta_translation1,knee_angle_r_beta_translation2,knee_angle_r_rotation2,knee_angle_r_rotation3,knee_angle_r_translation1,knee_angle_r_translation2,mcp2_abduction_l,mcp2_abduction_r,mcp2_flexion_l,mcp2_flexion_r,mcp3_abduction_l,mcp3_abduction_r,mcp3_flexion_l,mcp3_flexion_r,mcp4_abduction_l,mcp4_abduction_r,mcp4_flexion_l,mcp4_flexion_r,mcp5_abduction_l,mcp5_abduction_r,mcp5_flexion_l,mcp5_flexion_r,md2_flexion_l,md2_flexion_r,md3_flexion_l,md3_flexion_r,md4_flexion_l,md4_flexion_r,md5_flexion_l,md5_flexion_r,mp_flexion_l,mp_flexion_r,mtp_flex_l,mtp_flex_r,pm2_flexion_l,pm2_flexion_r,pm3_flexion_l,pm3_flexion_r,pm4_flexion_l,pm4_flexion_r,pm5_flexion_l,pm5_flexion_r,pro_sup,pro_sup_l,shoulder1_r2_l,shoulder1_r2_r,shoulder_elv_l,shoulder_elv_r,shoulder_rot_l,shoulder_rot_r,skull_AR,skull_FE,skull_LB,sternoclavicular_r2_l,sternoclavicular_r2_r,sternoclavicular_r3_l,sternoclavicular_r3_r,subtalar_angle_l,subtalar_angle_r,unrothum_r1_l,unrothum_r1_r,unrothum_r2_l,unrothum_r2_r,unrothum_r3_l,unrothum_r3_r,unrotscap_r2_l,unrotscap_r2_r,unrotscap_r3_l,unrotscap_r3_r
-0.002487,-0.00542,-0.001554,0.005077,-0.01653,-0.1951,0.03928,0.0764,-0.1954,0.03928,0.0883,-0.1893,0.03928,0.00806,-0.166,0.03928,-0.0339,-0.010475,0.03928,-0.05502,-0.2554,-0.0832,-0.003788,0.0155,0.06,-0.001046,-2.56e-05,0.2438,0.2294,-0.00822,-0.0759,0.01527,-0.0946,-0.01833,0.012375,0.01473,-0.00636,0.00847,0.1179,0.00742,0.00854,0.1453,0.01758,0.00854,0.1588,0.02267,0.00995,0.1311,0.01631,0.01007,0.03973,-0.01375,-0.1,-0.1,-0.1,-0.1,0.03198,0.4768,1.054,1.6875,0.0689,0.327,-0.5767,-0.6567,-0.335,-0.4329,0.1436,-0.2324,-0.07263,-0.3118,0.2,0.2,0.6396,0.0,0.05,-0.0179,0.03354,-0.2627,0.001599,-0.00679,0.569,0.0,0.05,-0.0179,0.03342,0.05573,0.001598,0.00679,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5703,0.5977,0.0663,-0.28,0.0543,0.4736,0.0663,-0.28,0.02266,-0.01374,-0.02203,-0.1287,-0.05838,0.05753,3.785e-05,0.348,-0.06824,-0.002487,-9e-07,0.004124,1.6e-06,-1.234e-05,3.6e-07,0.01165,0.1951,-0.05276,-0.11597
0.005787,0.00506,-0.001048,0.001763,-0.00756,-0.1953,0.03964,0.0791,-0.1962,0.038,0.0754,-0.1935,0.0403,0.01398,-0.1846,0.04028,-0.02934,0.02429,0.03952,-0.0528,-0.2043,-0.09674,0.002943,0.005104,0.0524,-0.0006685,-0.004463,0.2318,0.2046,-0.06146,-0.10614,0.01295,-0.0855,-0.01064,0.009544,0.01444,-0.00141,0.005627,0.10913,0.0097,0.005787,0.136,0.01764,0.005974,0.154,0.02045,0.0076,0.1366,0.01274,0.0085,0.0618,-0.01788,-0.1,-0.1,-0.1,-0.1,-0.0221,0.4402,1.053,1.685,0.07245,0.3357,-0.6235,-0.609,-0.3306,-0.4412,0.1724,-0.1798,-0.1212,-0.3281,0.2,0.2,0.5786,0.0,0.05,-0.0179,0.0334,-0.2386,0.00155,-0.005302,0.5566,0.0,0.05,-0.0179,0.0339,0.071,0.0005436,0.004665,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6255,0.6567,0.07117,-0.2693,0.04834,0.502,0.07117,-0.2693,0.01958,-0.01152,-0.01294,-0.12024,-0.04684,0.0519,0.008545,0.3413,-0.0799,-0.01814,-0.0109,0.015594,0.002327,-0.01604,-0.002613,0.01624,0.1852,-0.04846,-0.1159
0.00955,0.00991,-0.0007014,-0.0007153,-0.0008492,-0.1956,0.03793,0.0785,-0.1948,0.0368,0.061,-0.1957,0.03897,0.01839,-0.195,0.03943,-0.02394,0.0418,0.03986,-0.04913,-0.167,-0.0943,0.00893,-0.0002842,0.04816,-0.002487,-0.007107,0.2223,0.1887,-0.10535,-0.1372,0.010704,-0.0703,-0.00393,0.00689,0.01515,0.00256,0.002958,0.0967,0.01116,0.003443,0.1223,0.01727,0.003933,0.146,0.0186,0.005604,0.1439,0.01054,0.0067,0.0772,-0.0196,-0.1,-0.1,-0.1,-0.1,-0.05566,0.4019,1.056,1.691,0.0758,0.3389,-0.657,-0.556,-0.336,-0.4336,0.1843,-0.1431,-0.1676,-0.333,0.2,0.2,0.5176,0.0,0.05,-0.0179,0.0336,-0.1857,0.00112,-0.002935,0.534,0.0,0.05,-0.0179,0.03445,0.06537,2.33e-05,0.002277,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.683,0.712,0.0759,-0.2625,0.03772,0.5137,0.0759,-0.2625,0.0165,-0.006958,-0.004696,-0.11475,-0.04254,0.04953,0.01385,0.3174,-0.08105,-0.03336,-0.0188,0.0285,0.00507,-0.03616,-0.00625,0.01665,0.1792,-0.04352,-0.11395
0.01011,0.01072,-0.0005183,-0.002134,0.003239,-0.1956,0.03384,0.0736,-0.1906,0.03665,0.05093,-0.1959,0.0333,0.01904,-0.1971,0.0346,-0.01964,0.03726,0.03928,-0.0448,-0.142,-0.07733,0.01236,-0.001035,0.04507,-0.005466,-0.00781,0.2161,0.1833,-0.1349,-0.1704,0.01026,-0.0447,0.0016365,0.00612,0.01756,0.005196,0.002224,0.0781,0.011246,0.00322,0.10175,0.0157,0.00402,0.1333,0.01625,0.005394,0.1549,0.008934,0.00585,0.0838,-0.01944,-0.1,-0.1,-0.1,-0.1,-0.07184,0.3665,1.062,1.705,0.0759,0.3406,-0.674,-0.495,-0.3462,-0.4158,0.1848,-0.1271,-0.2032,-0.3232,0.2,0.2,0.4836,0.0,0.05,-0.0179,0.03445,-0.1171,0.000432,-0.0006104,0.4941,0.0,0.05,-0.0179,0.03354,0.0434,-3.594e-05,0.000497,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7417,0.7627,0.0769,-0.258,0.0297,0.513,0.0769,-0.258,0.014984,0.000972,0.00275,-0.10925,-0.04608,0.05234,0.01746,0.2783,-0.0767,-0.04324,-0.01938,0.0353,0.0096,-0.05023,-0.006172,0.01274,0.1775,-0.039,-0.10986
0.01168,0.01266,-0.0004241,-0.002813,0.005566,-0.1956,0.03075,0.0667,-0.1866,0.03778,0.05093,-0.1957,0.026,0.01552,-0.1962,0.02686,-0.01837,0.02077,0.03604,-0.04108,-0.1221,-0.06076,0.01247,-0.0003266,0.0382,-0.006283,-0.00795,0.2117,0.1829,-0.1448,-0.2084,0.01194,-0.013954,0.00551,0.00754,0.02078,0.006298,0.003883,0.0566,0.009964,0.0053,0.07874,0.012924,0.006172,0.1202,0.0132,0.00704,0.1693,0.007282,0.00625,0.0849,-0.01855,-0.1,-0.1,-0.1,-0.1,-0.0848,0.3416,1.067,1.718,0.0705,0.3442,-0.6816,-0.4355,-0.3481,-0.403,0.1893,-0.127,-0.2173,-0.3105,0.2,0.2,0.509,0.0,0.05,-0.0179,0.03494,-0.078,5.925e-05,-0.0001231,0.442,0.0,0.05,-0.0179,0.02893,0.02174,-1.734e-05,-0.0001885,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.791,0.8047,0.0716,-0.255,0.03168,0.5117,0.0716,-0.255,0.01544,0.00861,0.00866,-0.1007,-0.05066,0.05652,0.01993,0.2468,-0.0806,-0.04437,-0.01259,0.02971,0.01389,-0.04932,0.0004308,0.00896,0.1766,-0.03708,-0.10474
0.01449,0.01604,-0.0004015,-0.003204,0.006653,-0.1954,0.032,0.0611,-0.1874,0.03894,0.05896,-0.1954,0.0235,0.01006,-0.1953,0.02191,-0.02052,0.004803,0.03003,-0.03943,-0.10333,-0.0588,0.01045,0.0006666,0.02771,-0.004345,-0.008804,0.2087,0.1813,-0.1277,-0.2458,0.01394,0.009346,0.00721,0.00941,0.02264,0.00602,0.00608,0.03952,0.008026,0.00756,0.06216,0.01002,0.008194,0.11334,0.010376,0.00875,0.1821,0.005882,0.00676,0.08484,-0.01761,-0.1,-0.1,-0.1,-0.1,-0.0974,0.328,1.07,1.724,0.063,0.3433,-0.689,-0.393,-0.3354,-0.3982,0.1932,-0.1377,-0.2072,-0.3098,0.2,0.2,0.585,0.0,0.05,-0.0179,0.03146,-0.0941,0.0003688,-0.002052,0.389,0.0,0.05,-0.0179,0.02144,0.00826,-6.014e-05,-0.0003304,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8223,0.837,0.0637,-0.2544,0.03976,0.5083,0.0637,-0.2544,0.0164,0.0102,0.01199,-0.09204,-0.05203,0.05594,0.01929,0.2424,-0.0963,-0.0411,-0.00908,0.01816,0.01395,-0.0397,0.001861,0.00855,0.1714,-0.03763,-0.0991
0.01266,0.01364,-0.000508,-0.00386,0.006275,-0.1956,0.03616,0.061,-0.1917,0.03943,0.07214,-0.1954,0.02808,0.005123,-0.1953,0.0243,-0.02884,-0.01477,0.02519,-0.04715,-0.0772,-0.0783,0.006634,0.003153,0.0192,-0.002968,-0.01,0.2084,0.1783,-0.07544,-0.2666,0.01596,0.01982,0.00728,0.01136,0.02261,0.00514,0.007435,0.03038,0.00642,0.00859,0.05484,0.008064,0.00886,0.1126,0.00866,0.0095,0.1862,0.005074,0.007633,0.08276,-0.01704,-0.1,-0.1,-0.1,-0.1,-0.10175,0.3228,1.0625,1.731,0.06,0.331,-0.694,-0.3804,-0.3098,-0.3865,0.1534,-0.1627,-0.1869,-0.3215,0.2,0.2,0.6504,0.0,0.05,-0.0179,0.0211,-0.1416,0.001087,-0.00448,0.3376,0.0,0.05,-0.0179,0.01584,0.001863,2.7e-05,-0.0002449,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8486,0.8647,0.0606,-0.2494,0.04468,0.4846,0.0606,-0.2494,0.01784,0.006535,0.01293,-0.0903,-0.06238,0.05017,0.01627,0.2568,-0.11206,-0.04083,-0.0326,0.0134,0.01643,-0.03452,-0.02835,0.0092,0.1594,-0.0386,-0.08844
0.0002246,-0.001898,-0.000814,-0.005573,0.00425,-0.1957,0.0392,0.071,-0.1951,0.0397,0.08966,-0.1957,0.035,0.003454,-0.1957,0.0318,-0.04688,-0.05563,0.02644,-0.0752,-0.0291,-0.1166,0.001344,0.007904,0.01741,-0.00455,-0.00997,0.2109,0.1753,0.00609,-0.26,0.01967,0.02318,0.005306,0.01491,0.02223,0.003557,0.00807,0.02664,0.00523,0.008705,0.05142,0.007328,0.00869,0.1108,0.00864,0.0095,0.1786,0.005756,0.01033,0.0748,-0.01566,-0.1,-0.1,-0.1,-0.1,-0.09174,0.324,1.039,1.756,0.063,0.3108,-0.684,-0.399,-0.2754,-0.354,0.02345,-0.209,-0.1829,-0.3313,0.2,0.2,0.6333,0.0,0.05,-0.0179,0.00768,-0.1783,0.001635,-0.004604,0.2834,0.0,0.05,-0.0179,0.01581,-0.000296,0.0004644,0.000616,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8965,0.8955,0.0641,-0.226,0.04044,0.4255,0.0641,-0.226,0.02179,0.004566,0.01063,-0.0995,-0.10126,0.04297,0.011734,0.2634,-0.1122,-0.04623,-0.1036,0.0202,0.0362,-0.0413,-0.1074,0.007275,0.1436,-0.03876,-0.0659
-0.01923,-0.02608,-0.001237,-0.008606,0.001917,-0.1957,0.04013,0.0904,-0.196,0.04007,0.1009,-0.1958,0.03925,0.00943,-0.1962,0.03802,-0.0681,-0.1181,0.03284,-0.1195,0.04053,-0.1571,2.09e-05,0.01319,0.02415,-0.00771,-0.0076,0.2146,0.176,0.07874,-0.2397,0.02478,0.02675,0.001154,0.0198,0.02292,0.001032,0.00836,0.02425,0.00397,0.00859,0.04672,0.00714,0.008415,0.1033,0.00968,0.00917,0.1643,0.00774,0.01443,0.06256,-0.01287,-0.1,-0.1,-0.1,-0.1,-0.075,0.3308,1.009,1.786,0.06744,0.2903,-0.6587,-0.4355,-0.2405,-0.31,-0.1637,-0.264,-0.2091,-0.331,0.2,0.2,0.5312,0.0,0.05,-0.0179,-0.001157,-0.1947,0.001667,-0.002369,0.2317,0.0,0.05,-0.0179,0.01868,-0.0004005,0.001118,0.002722,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9624,0.928,0.0693,-0.1885,0.02887,0.3494,0.0693,-0.1885,0.02797,0.00827,0.004795,-0.1169,-0.1641,0.03836,0.005627,0.2515,-0.0941,-0.05447,-0.2021,0.03238,0.0701,-0.05728,-0.2089,0.003277,0.132,-0.03827,-0.03748
-0.03555,-0.04626,-0.001505,-0.01193,0.001901,-0.1952,0.0398,0.10986,-0.1964,0.0391,0.0923,-0.1953,0.04044,0.02312,-0.1954,0.04022,-0.0791,-0.1727,0.03845,-0.1577,0.10864,-0.1782,0.006706,0.01593,0.0358,-0.00988,-0.003859,0.2179,0.1825,0.09766,-0.2297,0.02847,0.03745,-0.0003319,0.0235,0.02591,0.0004642,0.00842,0.01999,0.003685,0.00853,0.0385,0.006912,0.008316,0.0912,0.00948,0.008995,0.1511,0.007553,0.01805,0.05527,-0.01281,-0.1,-0.1,-0.1,-0.1,-0.06903,0.339,0.9907,1.788,0.07,0.274,-0.6333,-0.473,-0.2156,-0.2783,-0.3052,-0.2913,-0.2522,-0.326,0.2,0.2,0.414,0.0,0.05,-0.0179,-0.003256,-0.2074,0.001188,-0.000266,0.1981,0.0,0.05,-0.0179,0.01955,-6.133e-05,0.0015955,0.00531,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.011,0.955,0.07245,-0.1604,0.01706,0.2937,0.07245,-0.1604,0.0324,0.01794,0.001731,-0.1354,-0.2207,0.0403,0.000699,0.2354,-0.07275,-0.06198,-0.2798,0.04257,0.0961,-0.0733,-0.2817,0.0002787,0.1312,-0.0373,-0.01903
